wahlbezirk_nr,wahlbezirk,Wahlb ohne Sperrv,Wahlb mit Sperrv,Wahlb nach�9,Wahlb insges,waehler_insgesamt,dav mit Wahl-schein,Ung�lt Stimmen,G�ltige Stimmen,cdu,spd,gruene,fdp,uwg_ms,die_linke,oedp,Seemann (Einzelbew),Schulte (Einzelbew),piraten
B611,Brief Geist/Pluggendorf 2,0,0,0,0,562,0,4,558,184,150,133,31,19,34,7,-,-,-
B512,Brief Aaseestadt 1,0,0,0,0,709,0,3,706,303,163,152,66,9,9,4,-,-,-
B612,Brief Aaseestadt 2,0,0,0,0,908,0,5,903,452,203,125,74,13,25,11,-,-,-
B513,Brief D�esberg 1,0,0,0,0,420,0,4,416,156,119,76,45,9,8,3,-,-,-
B613,Brief D�esberg 2,0,0,0,0,740,0,4,736,359,172,78,73,20,28,6,-,-,-
B520,Brief Gremmendorf 1,0,0,0,0,646,0,2,644,341,123,92,51,8,14,1,-,-,14
B620,Brief Gremmendorf 2,0,0,0,0,520,0,3,517,226,111,81,55,9,10,5,-,-,20
B521,Brief Wolbeck 1,0,0,0,0,522,0,1,521,260,117,59,63,6,5,3,-,-,8
B621,Brief Wolbeck 2,0,0,0,0,689,0,4,685,331,134,91,95,4,13,4,-,-,13
B522,Brief Angelmodde 1,0,0,0,0,435,0,2,433,246,63,56,54,6,7,1,-,-,-
B622,Brief Angelmodde 2,0,0,0,0,501,0,0,501,234,130,61,47,15,10,4,-,-,-
B523,Brief Berg Fidel 1,0,0,0,0,552,0,3,549,259,139,49,75,9,16,2,-,-,-
B623,Brief Berg Fidel 2,0,0,0,0,418,0,4,414,184,119,44,47,9,10,1,-,-,-
B524,Brief Hiltrup-Ost,0,0,0,0,798,0,5,793,370,205,82,98,13,22,3,-,-,-
B525,Brief Hiltrup-Mitte 1,0,0,0,0,587,0,1,586,351,104,37,79,7,7,1,-,-,-
B625,Brief Hiltrup-Mitte 2,0,0,0,0,583,0,11,572,281,134,46,74,17,16,4,-,-,-
B526,Brief Amelsb�ren 1,0,0,0,0,530,0,6,524,254,86,70,84,11,16,3,-,-,-
B626,Brief Amelsb�ren 2,0,0,0,0,457,0,1,456,254,102,40,46,6,6,2,-,-,-
B527,Brief Albachten 1,0,0,0,0,397,0,7,390,179,84,63,53,1,6,4,-,-,-
B627,Brief Albachten 2,0,0,0,0,403,0,1,402,199,96,45,42,10,10,0,-,-,-
B528,Brief Mecklenbeck 1,0,0,0,0,452,0,0,452,204,79,70,72,4,13,3,-,-,7
B628,Brief Mecklenbeck 2,0,0,0,0,422,0,0,422,157,113,79,37,10,10,2,-,-,14
B529,Brief Roxel 1,0,0,0,0,565,0,4,561,325,106,48,55,14,11,2,-,-,-
B629,Brief Roxel 2,0,0,0,0,502,0,2,500,263,104,47,64,10,8,4,-,-,-
